"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","07-Apr-2020","       1901.05","       1960.00","       2150.00","       1921.25","       2067.95","       2067.85","       2041.64","    2241715","          4576774989.90","     111108","     916305","         40.88"
"DIVISLAB","EQ","08-Apr-2020","       2067.85","       2065.00","       2214.60","       2040.10","       2168.00","       2168.95","       2163.11","    1228905","          2658254240.20","      63827","     299628","         24.38"
"DIVISLAB","EQ","09-Apr-2020","       2168.95","       2225.00","       2467.60","       2200.25","       2315.95","       2310.90","       2330.26","    2527934","          5890731443.45","      98602","     834860","         33.03"
"DIVISLAB","EQ","13-Apr-2020","       2310.90","       2385.00","       2421.00","       2285.00","       2351.90","       2341.20","       2372.68","    1782628","          4229603746.20","      79301","     589876","         33.09"
"DIVISLAB","EQ","15-Apr-2020","       2341.20","       2371.00","       2418.00","       2330.00","       2385.90","       2395.45","       2388.07","    1136727","          2714580633.60","      74504","     393127","         34.58"
"DIVISLAB","EQ","16-Apr-2020","       2395.45","       2395.40","       2448.50","       2353.80","       2393.85","       2393.20","       2405.72","    1350131","          3248040353.75","      69302","     294931","         21.84"
"DIVISLAB","EQ","17-Apr-2020","       2393.20","       2430.00","       2449.55","       2320.15","       2331.00","       2332.20","       2357.44","    1326980","          3128278985.50","      88370","     531168","         40.03"
"DIVISLAB","EQ","20-Apr-2020","       2332.20","       2335.00","       2375.00","       2296.05","       2330.00","       2342.55","       2344.21","     817776","          1917040262.85","      53150","     266781","         32.62"
"DIVISLAB","EQ","21-Apr-2020","       2342.55","       2295.00","       2474.45","       2295.00","       2408.00","       2406.60","       2413.16","    1365316","          3294723454.10","      68394","     329744","         24.15"
"DIVISLAB","EQ","22-Apr-2020","       2406.60","       2406.95","       2412.95","       2363.65","       2385.35","       2384.50","       2389.47","     596850","          1426155379.25","      48200","     259928","         43.55"
"DIVISLAB","EQ","23-Apr-2020","       2384.50","       2388.00","       2454.30","       2376.00","       2412.00","       2417.30","       2424.05","     993530","          2408365557.95","      56136","     286503","         28.84"
"DIVISLAB","EQ","24-Apr-2020","       2417.30","       2410.00","       2460.00","       2390.60","       2424.00","       2425.40","       2434.20","     894214","          2176693546.30","      42671","     159439","         17.83"
"DIVISLAB","EQ","27-Apr-2020","       2425.40","       2450.00","       2472.40","       2394.20","       2424.60","       2425.85","       2436.36","     924358","          2252065000.55","      69375","     284689","         30.80"
"DIVISLAB","EQ","28-Apr-2020","       2425.85","       2445.00","       2445.00","       2349.00","       2358.50","       2363.35","       2381.94","     855507","          2037766355.40","      65207","     196226","         22.94"
"DIVISLAB","EQ","29-Apr-2020","       2363.35","       2388.00","       2409.00","       2352.00","       2369.75","       2369.85","       2379.63","     635110","          1511328778.50","      36074","     205021","         32.28"
"DIVISLAB","EQ","30-Apr-2020","       2369.85","       2365.00","       2372.70","       2300.70","       2333.00","       2332.90","       2334.54","     843164","          1968400697.25","     103742","     364067","         43.18"
"DIVISLAB","EQ","04-May-2020","       2332.90","       2226.00","       2343.95","       2226.00","       2275.65","       2287.15","       2297.69","     936799","          2152478070.75","      79720","     416630","         44.47"
"DIVISLAB","EQ","05-May-2020","       2287.15","       2273.20","       2326.00","       2273.20","       2283.90","       2284.25","       2301.18","     609756","          1403160265.50","      62805","     243510","         39.94"
"DIVISLAB","EQ","06-May-2020","       2284.25","       2310.00","       2313.85","       2241.70","       2290.00","       2291.35","       2279.25","     762810","          1738634376.15","      64800","     289918","         38.01"
"DIVISLAB","EQ","07-May-2020","       2291.35","       2280.35","       2310.00","       2227.00","       2275.00","       2258.85","       2266.60","     498540","          1129988490.35","      45532","     189487","         38.01"
"DIVISLAB","EQ","08-May-2020","       2258.85","       2271.00","       2314.85","       2253.10","       2300.00","       2300.80","       2295.59","     641799","          1473304808.65","      52656","     232804","         36.27"
"DIVISLAB","EQ","11-May-2020","       2300.80","       2319.00","       2356.00","       2310.05","       2330.00","       2326.90","       2338.33","     654101","          1529505730.15","      44365","     228475","         34.93"
"DIVISLAB","EQ","12-May-2020","       2326.90","       2330.00","       2374.35","       2303.05","       2363.60","       2363.55","       2347.50","     676618","          1588358193.25","      43952","     267341","         39.51"
"DIVISLAB","EQ","13-May-2020","       2363.55","       2388.00","       2396.90","       2314.00","       2330.05","       2339.50","       2333.55","     538170","          1255845950.25","      35086","     220482","         40.97"
"DIVISLAB","EQ","14-May-2020","       2339.50","       2329.00","       2377.90","       2302.00","       2370.00","       2366.60","       2361.15","     413755","           976938144.90","      20255","     158577","         38.33"
"DIVISLAB","EQ","15-May-2020","       2366.60","       2376.00","       2413.00","       2327.35","       2336.80","       2335.20","       2365.54","     600190","          1419775431.35","      38986","     150947","         25.15"
"DIVISLAB","EQ","18-May-2020","       2335.20","       2342.00","       2379.00","       2318.40","       2334.90","       2330.20","       2345.93","     600640","          1409057960.95","      44792","     184116","         30.65"
"DIVISLAB","EQ","19-May-2020","       2330.20","       2350.00","       2358.00","       2307.80","       2321.50","       2321.75","       2334.56","     322942","           753926462.15","      17822","      93051","         28.81"
